YEAR,MONTH,MONTH.END,Russia,St._Petersburg,Leningrad_reg.,Karelia,Vologda,Novgorod,Pskov
2013,октябрь,2013-10-31,168671,5350,2335,826,1472,1031,1078
2013,ноябрь,2013-11-30,145823,4825,1930,694,1362,809,920
2013,декабрь,2013-12-31,157641,5195,2211,776,1588,902,1080
2014,январь,2014-01-31,168057,5356.99,2174,883,1604,1006,1134
2014,февраль,2014-02-28,149882,4693,1981,714,1349,848,992
2014,март,2014-03-31,156576,5138,2020,709,1450,847,922
2014,апрель,2014-04-30,161341,5209,2171,760,1460,1014,1026
2014,май,2014-05-31,161710,5027,2180,740,1564,965,1088
2014,июнь,2014-06-30,146297,4539,2151,717,1448,827,891
2014,июль,2014-07-31,160638,5349,2384,827,1516,921,1081
2014,август,2014-08-31,146275,4643,2056,721,1400,789,912
2014,сентябрь,2014-09-30,155294,4950,2268,794,1525,875,964
2014,октябрь,2014-10-31,163431,5306,2197,831,1462,931,1070
2014,ноябрь,2014-11-30,143141,4774,1891,713,1339,750,928
2014,декабрь,2014-12-31,166663,5237,2283,836,1569,992,1072
2015,январь,2015-01-31,174723,5593,2268,862,1704,1025,1061
2015,февраль,2015-02-28,156737,5075,2066,769,1376,824,982
2015,март,2015-03-31,175810,5511,2439,896,1605,969,1100
2015,апрель,2015-04-30,164705,5274,2250,807,1559,1009,997
2015,май,2015-05-31,154855,4881,2119,798,1389,915,923
2015,июнь,2015-06-30,161267,5034,2104,811,1491,881,997
2015,июль,2015-07-31,155922,5039,1915,774,1407,852,995
2015,август,2015-08-31,145113,4751,1806,746,1356,834,948
2015,сентябрь,2015-09-30,154600,4998,1985,798,1438,893,945
2015,октябрь,2015-10-31,156753,5379,2082,773,1414,859,983
2015,ноябрь,2015-11-30,147626,4929.99,1884,773,1435,884,825
2015,декабрь,2015-12-31,163302,5548,2004,841,1440,889,1057
2016,январь,2016-01-31,169771,6075,2295,846,1741,982,1170
2016,февраль,2016-02-29,156779,5285,2226,750,1460,928,973
2016,март,2016-03-31,166307,5396,2079,812,1504,890,993
